Time,ProductIDType,ProductID,PV01,Quantity
12/26/2024 23:45:32.587,CUSIP,912810RJ9,0.119500,1000000
12/26/2024 23:45:32.587,CUSIP,912810UE6,0.201900,1000000
12/26/2024 23:45:32.587,Bucketed Sector,LongEnd,0.201900,1000000
12/26/2024 23:45:32.587,CUSIP,912828YU8,0.018500,1000000
12/26/2024 23:45:32.587,Bucketed Sector,FrontEnd,0.018500,1000000
12/26/2024 23:45:32.587,CUSIP,91282CAY7,0.026000,1000000
12/26/2024 23:45:32.587,Bucketed Sector,FrontEnd,0.022250,2000000
12/26/2024 23:45:32.587,CUSIP,91282CDJ7,0.050500,1000000
12/26/2024 23:45:32.587,Bucketed Sector,Belly,0.050500,1000000
12/26/2024 23:45:32.587,CUSIP,91282CFY2,0.037600,1000000
12/26/2024 23:45:32.587,Bucketed Sector,Belly,0.044050,2000000
12/26/2024 23:45:32.587,CUSIP,91282CLW9,0.063700,1000000
12/26/2024 23:45:32.587,Bucketed Sector,Belly,0.050600,3000000
12/26/2024 23:45:32.587,CUSIP,912810RJ9,0.119500,0
12/26/2024 23:45:32.587,CUSIP,912810UE6,0.201900,0
12/26/2024 23:45:32.587,Bucketed Sector,LongEnd,0.000000,0
12/26/2024 23:45:32.587,CUSIP,912828YU8,0.018500,0
12/26/2024 23:45:32.587,Bucketed Sector,FrontEnd,0.026000,1000000
12/26/2024 23:45:32.587,CUSIP,91282CAY7,0.026000,0
12/26/2024 23:45:32.587,Bucketed Sector,FrontEnd,0.000000,0
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,0.050500,0
12/26/2024 23:45:32.588,Bucketed Sector,Belly,0.050650,2000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,0.037600,0
12/26/2024 23:45:32.588,Bucketed Sector,Belly,0.063700,1000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,0.063700,0
12/26/2024 23:45:32.588,Bucketed Sector,Belly,0.000000,0
12/26/2024 23:45:32.588,CUSIP,912810RJ9,0.119500,2000000
12/26/2024 23:45:32.588,CUSIP,912810UE6,0.201900,2000000
12/26/2024 23:45:32.588,Bucketed Sector,LongEnd,0.201900,2000000
12/26/2024 23:45:32.588,CUSIP,912828YU8,0.018500,2000000
12/26/2024 23:45:32.588,Bucketed Sector,FrontEnd,0.018500,2000000
12/26/2024 23:45:32.588,CUSIP,91282CAY7,0.026000,2000000
12/26/2024 23:45:32.588,Bucketed Sector,FrontEnd,0.022250,4000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,0.050500,2000000
12/26/2024 23:45:32.588,Bucketed Sector,Belly,0.050500,2000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,0.037600,2000000
12/26/2024 23:45:32.588,Bucketed Sector,Belly,0.044050,4000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,0.063700,2000000
12/26/2024 23:45:32.588,Bucketed Sector,Belly,0.050600,6000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,0.119500,0
12/26/2024 23:45:32.588,CUSIP,912810UE6,0.201900,0
12/26/2024 23:45:32.588,Bucketed Sector,LongEnd,0.000000,0
12/26/2024 23:45:32.588,CUSIP,912828YU8,0.018500,0
12/26/2024 23:45:32.588,Bucketed Sector,FrontEnd,0.026000,2000000
12/26/2024 23:45:32.588,CUSIP,91282CAY7,0.026000,0
12/26/2024 23:45:32.588,Bucketed Sector,FrontEnd,0.000000,0
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,0.050500,0
12/26/2024 23:45:32.588,Bucketed Sector,Belly,0.050650,4000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,0.037600,0
12/26/2024 23:45:32.588,Bucketed Sector,Belly,0.063700,2000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,0.063700,0
12/26/2024 23:45:32.588,Bucketed Sector,Belly,0.000000,0
12/26/2024 23:45:32.588,CUSIP,912810RJ9,0.119500,3000000
12/26/2024 23:45:32.588,CUSIP,912810UE6,0.201900,3000000
12/26/2024 23:45:32.588,Bucketed Sector,LongEnd,0.201900,3000000
12/26/2024 23:45:32.589,CUSIP,912828YU8,0.018500,3000000
12/26/2024 23:45:32.589,Bucketed Sector,FrontEnd,0.018500,3000000
12/26/2024 23:45:32.589,CUSIP,91282CAY7,0.026000,3000000
12/26/2024 23:45:32.589,Bucketed Sector,FrontEnd,0.022250,6000000
12/26/2024 23:45:32.589,CUSIP,91282CDJ7,0.050500,3000000
12/26/2024 23:45:32.589,Bucketed Sector,Belly,0.050500,3000000
12/26/2024 23:45:32.589,CUSIP,91282CFY2,0.037600,3000000
12/26/2024 23:45:32.589,Bucketed Sector,Belly,0.044050,6000000
12/26/2024 23:45:32.589,CUSIP,91282CLW9,0.063700,3000000
12/26/2024 23:45:32.589,Bucketed Sector,Belly,0.050600,9000000
12/26/2024 23:45:32.589,CUSIP,912810RJ9,0.119500,5000000
12/26/2024 23:45:32.589,CUSIP,912810UE6,0.201900,5000000
12/26/2024 23:45:32.589,Bucketed Sector,LongEnd,0.201900,5000000
12/26/2024 23:45:32.589,CUSIP,912828YU8,0.018500,5000000
12/26/2024 23:45:32.589,Bucketed Sector,FrontEnd,0.021313,8000000
12/26/2024 23:45:32.592,CUSIP,91282CAY7,0.026000,5000000
12/26/2024 23:45:32.592,Bucketed Sector,FrontEnd,0.022250,10000000
12/26/2024 23:45:32.592,CUSIP,91282CDJ7,0.050500,5000000
12/26/2024 23:45:32.592,Bucketed Sector,Belly,0.050582,11000000
