Time,BondIDType,BondID,BookId,Positions
12/26/2024 23:45:32.587,CUSIP,912810RJ9,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,912810RJ9,TRSY2,0
12/26/2024 23:45:32.587,CUSIP,912810RJ9,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,912810RJ9,AGGREGATED,1000000
12/26/2024 23:45:32.587,CUSIP,912810UE6,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,912810UE6,TRSY2,0
12/26/2024 23:45:32.587,CUSIP,912810UE6,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,912810UE6,AGGREGATED,1000000
12/26/2024 23:45:32.587,CUSIP,912828YU8,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,912828YU8,TRSY2,0
12/26/2024 23:45:32.587,CUSIP,912828YU8,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,912828YU8,AGGREGATED,1000000
12/26/2024 23:45:32.587,CUSIP,91282CAY7,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,91282CAY7,TRSY2,0
12/26/2024 23:45:32.587,CUSIP,91282CAY7,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,91282CAY7,AGGREGATED,1000000
12/26/2024 23:45:32.587,CUSIP,91282CDJ7,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,91282CDJ7,TRSY2,0
12/26/2024 23:45:32.587,CUSIP,91282CDJ7,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,91282CDJ7,AGGREGATED,1000000
12/26/2024 23:45:32.587,CUSIP,91282CFY2,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,91282CFY2,TRSY2,0
12/26/2024 23:45:32.587,CUSIP,91282CFY2,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,91282CFY2,AGGREGATED,1000000
12/26/2024 23:45:32.587,CUSIP,91282CLW9,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,91282CLW9,TRSY2,0
12/26/2024 23:45:32.587,CUSIP,91282CLW9,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,91282CLW9,AGGREGATED,1000000
12/26/2024 23:45:32.587,CUSIP,912810RJ9,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,912810RJ9,TRSY2,-2000000
12/26/2024 23:45:32.587,CUSIP,912810RJ9,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,912810RJ9,AGGREGATED,-1000000
12/26/2024 23:45:32.587,CUSIP,912810UE6,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,912810UE6,TRSY2,-2000000
12/26/2024 23:45:32.587,CUSIP,912810UE6,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,912810UE6,AGGREGATED,-1000000
12/26/2024 23:45:32.587,CUSIP,912828YU8,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,912828YU8,TRSY2,-2000000
12/26/2024 23:45:32.587,CUSIP,912828YU8,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,912828YU8,AGGREGATED,-1000000
12/26/2024 23:45:32.587,CUSIP,91282CAY7,TRSY1,1000000
12/26/2024 23:45:32.587,CUSIP,91282CAY7,TRSY2,-2000000
12/26/2024 23:45:32.587,CUSIP,91282CAY7,TRSY3,0
12/26/2024 23:45:32.587,CUSIP,91282CAY7,AGGREGATED,-1000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,TRSY1,1000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,TRSY3,0
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,AGGREGATED,-1000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,TRSY1,1000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,TRSY3,0
12/26/2024 23:45:32.588,CUSIP,91282CFY2,AGGREGATED,-1000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,TRSY1,1000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,TRSY3,0
12/26/2024 23:45:32.588,CUSIP,91282CLW9,AGGREGATED,-1000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,TRSY1,1000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,AGGREGATED,2000000
12/26/2024 23:45:32.588,CUSIP,912810UE6,TRSY1,1000000
12/26/2024 23:45:32.588,CUSIP,912810UE6,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,912810UE6,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,912810UE6,AGGREGATED,2000000
12/26/2024 23:45:32.588,CUSIP,912828YU8,TRSY1,1000000
12/26/2024 23:45:32.588,CUSIP,912828YU8,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,912828YU8,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,912828YU8,AGGREGATED,2000000
12/26/2024 23:45:32.588,CUSIP,91282CAY7,TRSY1,1000000
12/26/2024 23:45:32.588,CUSIP,91282CAY7,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CAY7,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,91282CAY7,AGGREGATED,2000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,TRSY1,1000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,AGGREGATED,2000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,TRSY1,1000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,AGGREGATED,2000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,TRSY1,1000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,AGGREGATED,2000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,TRSY1,-3000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,AGGREGATED,-2000000
12/26/2024 23:45:32.588,CUSIP,912810UE6,TRSY1,-3000000
12/26/2024 23:45:32.588,CUSIP,912810UE6,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,912810UE6,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,912810UE6,AGGREGATED,-2000000
12/26/2024 23:45:32.588,CUSIP,912828YU8,TRSY1,-3000000
12/26/2024 23:45:32.588,CUSIP,912828YU8,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,912828YU8,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,912828YU8,AGGREGATED,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CAY7,TRSY1,-3000000
12/26/2024 23:45:32.588,CUSIP,91282CAY7,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CAY7,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,91282CAY7,AGGREGATED,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,TRSY1,-3000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,91282CDJ7,AGGREGATED,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,TRSY1,-3000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,91282CFY2,AGGREGATED,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,TRSY1,-3000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,TRSY2,-2000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,91282CLW9,AGGREGATED,-2000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,TRSY1,-3000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,TRSY2,3000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,TRSY3,3000000
12/26/2024 23:45:32.588,CUSIP,912810RJ9,AGGREGATED,3000000
12/26/2024 23:45:32.589,CUSIP,912810UE6,TRSY1,-3000000
12/26/2024 23:45:32.589,CUSIP,912810UE6,TRSY2,3000000
12/26/2024 23:45:32.589,CUSIP,912810UE6,TRSY3,3000000
12/26/2024 23:45:32.589,CUSIP,912810UE6,AGGREGATED,3000000
12/26/2024 23:45:32.589,CUSIP,912828YU8,TRSY1,-3000000
12/26/2024 23:45:32.589,CUSIP,912828YU8,TRSY2,3000000
12/26/2024 23:45:32.589,CUSIP,912828YU8,TRSY3,3000000
12/26/2024 23:45:32.589,CUSIP,912828YU8,AGGREGATED,3000000
12/26/2024 23:45:32.589,CUSIP,91282CAY7,TRSY1,-3000000
