Time,BondIDType,BondID,BidPrice,BidVisibleQuantity,BidHiddenQuantity,OfferPrice,OfferVisibleQuantity,OfferHiddenQuantity
12/26/2024 23:45:32.616,CUSIP,912810RJ9,98.992188,1000000,2000000,99.007812,1000000,2000000
12/26/2024 23:45:32.616,CUSIP,912810UE6,98.992188,2000000,4000000,99.007812,2000000,4000000
12/26/2024 23:45:32.616,CUSIP,912828YU8,98.992188,1000000,2000000,99.007812,1000000,2000000
12/26/2024 23:45:32.616,CUSIP,91282CAY7,98.992188,2000000,4000000,99.007812,2000000,4000000
12/26/2024 23:45:32.616,CUSIP,91282CDJ7,98.992188,1000000,2000000,99.007812,1000000,2000000
12/26/2024 23:45:32.616,CUSIP,91282CFY2,98.992188,2000000,4000000,99.007812,2000000,4000000
12/26/2024 23:45:32.616,CUSIP,91282CLW9,98.992188,1000000,2000000,99.007812,1000000,2000000
12/26/2024 23:45:32.616,CUSIP,912810RJ9,99.000000,2000000,4000000,99.007812,2000000,4000000
12/26/2024 23:45:32.616,CUSIP,912810UE6,99.000000,1000000,2000000,99.007812,1000000,2000000
12/26/2024 23:45:32.616,CUSIP,912828YU8,99.000000,2000000,4000000,99.007812,2000000,4000000
12/26/2024 23:45:32.616,CUSIP,91282CAY7,99.000000,1000000,2000000,99.007812,1000000,2000000
12/26/2024 23:45:32.616,CUSIP,91282CDJ7,99.000000,2000000,4000000,99.007812,2000000,4000000
12/26/2024 23:45:32.616,CUSIP,91282CFY2,99.000000,1000000,2000000,99.007812,1000000,2000000
12/26/2024 23:45:32.617,CUSIP,91282CLW9,99.000000,2000000,4000000,99.007812,2000000,4000000
12/26/2024 23:45:32.617,CUSIP,912810RJ9,99.000000,1000000,2000000,99.015625,1000000,2000000
12/26/2024 23:45:32.617,CUSIP,912810UE6,99.000000,2000000,4000000,99.015625,2000000,4000000
12/26/2024 23:45:32.617,CUSIP,912828YU8,99.000000,1000000,2000000,99.015625,1000000,2000000
12/26/2024 23:45:32.617,CUSIP,91282CAY7,99.000000,2000000,4000000,99.015625,2000000,4000000
